nome;curso;nota
Nicolas Xavier Freitas;Engenharia Mecânica;9,37
Rafael Haddad Oliveira;Psicologia;6,71
Isabela Klein Ramos;Arquitetura e Urbanismo;8,48
Paulo Queiroz Yamada;Engenharia Mecânica;4,20
Alice Gomes Nascimento;Direito;8,39
Lucas Barbosa Ibrahim;Engenharia da Computação;1,47
Elisa Araújo Cardoso;Direito;0,46
Eduarda Gomes Nascimento;Ciência da Computação;3,79
João Yamada Almeida;Psicologia;8,52
Lucas Vieira Duarte;Arquitetura e Urbanismo;2,55
Ingrid Teixeira Batista;Engenharia da Computação;6,81
João Xavier Freitas;Psicologia;2,14
Lucas Dias Klein;Direito;9,54
João Costa Esteves;Enfermagem;7,97
Giovana Duarte Ferreira;Administração;7,25
Fernando Queiroz Yamada;Arquitetura e Urbanismo;9,20
Eduarda Uchoa Costa;Odontologia;7,00
Leonardo Yamada Almeida;Ciência da Computação;0,25
Gabriela Yamada Almeida;Arquitetura e Urbanismo;1,75
Vinicius Nascimento Uchoa;Enfermagem;2,97
Vinicius Klein Ramos;Direito;1,59
Carla Araújo Cardoso;Enfermagem;7,10
Henrique Araújo Cardoso;Direito;6,62
Isabela Yamada Almeida;Psicologia;7,20
Bruno Ibrahim Pereira;Enfermagem;4,97
Elisa Ferreira Macedo;Odontologia;9,12
Fernando Cardoso Jardim;Direito;5,98
Caio Haddad Oliveira;Engenharia Mecânica;9,30
Daniel Xavier Freitas;Engenharia da Computação;7,32
Quezia Jardim Queiroz;Análise e Desenvolvimento de Sistemas;9,10
Beatriz Almeida Haddad;Arquitetura e Urbanismo;2,05
Beatriz Haddad Oliveira;Psicologia;7,30
Vinicius Dias Klein;Direito;8,84
Olivia Araújo Cardoso;Odontologia;7,91
Júlia Silva Araújo;Análise e Desenvolvimento de Sistemas;6,39
Heitor Cardoso Jardim;Engenharia da Computação;4,15
Nicolas Ramos Zanetti;Psicologia;8,38
Fernando Zanetti Barbosa;Enfermagem;2,79
Mariana Araújo Cardoso;Administração;9,86
Kauã Oliveira Vieira;Direito;8,59
Karen Yamada Almeida;Engenharia Mecânica;4,59
João Jardim Queiroz;Enfermagem;6,30
Kauã Teixeira Batista;Arquitetura e Urbanismo;6,30
Carla Pereira Xavier;Psicologia;6,69
Ana Batista Dias;Psicologia;5,79
Diego Esteves Lima;Engenharia Mecânica;8,20
Paulo Esteves Lima;Odontologia;4,11
Ursula Vieira Duarte;Arquitetura e Urbanismo;8,33
Isabela Barbosa Ibrahim;Engenharia Mecânica;3,70
Rafael Silva Araújo;Odontologia;9,38
Sabrina Jardim Queiroz;Engenharia da Computação;4,07
Fernando Yamada Almeida;Engenharia Mecânica;2,32
Giovana Xavier Freitas;Administração;2,84
Pedro Macedo Teixeira;Arquitetura e Urbanismo;5,52
Caio Barbosa Ibrahim;Engenharia Mecânica;1,03
Nicolas Freitas Gomes;Análise e Desenvolvimento de Sistemas;5,29
Karen Klein Ramos;Administração;5,00
Henrique Barbosa Ibrahim;Engenharia Mecânica;0,13
Otávio Gomes Nascimento;Administração;1,51
Caio Xavier Freitas;Engenharia da Computação;2,05
Nicolas Zanetti Barbosa;Psicologia;0,47
Elisa Ibrahim Pereira;Odontologia;9,18
Marcela Ibrahim Pereira;Odontologia;1,61
Gabriela Cardoso Jardim;Psicologia;4,96
Eduarda Oliveira Vieira;Odontologia;4,41
Pedro Araújo Cardoso;Engenharia Mecânica;7,89
Vinicius Silva Araújo;Psicologia;4,59
Kauã Queiroz Yamada;Administração;1,27
Karen Gomes Nascimento;Engenharia da Computação;4,53
Júlia Dias Klein;Administração;9,60
Diego Silva Araújo;Psicologia;6,42
Olivia Queiroz Yamada;Engenharia Mecânica;0,14
Marcela Uchoa Costa;Psicologia;4,25
Ana Teixeira Batista;Administração;1,58
Paulo Macedo Teixeira;Direito;4,54
Otávio Haddad Oliveira;Engenharia Mecânica;6,89
Pedro Haddad Oliveira;Odontologia;8,60
Natália Araújo Cardoso;Ciência da Computação;6,70
Diego Costa Esteves;Arquitetura e Urbanismo;8,98
Lucas Oliveira Vieira;Odontologia;1,95
Felipe Ferreira Macedo;Psicologia;1,01
Fernando Esteves Lima;Odontologia;6,81
Pedro Zanetti Barbosa;Análise e Desenvolvimento de Sistemas;6,37
Giovana Haddad Oliveira;Engenharia da Computação;8,70
Bruno Barbosa Ibrahim;Arquitetura e Urbanismo;6,40
Vinicius Esteves Lima;Psicologia;7,74
Rafael Oliveira Vieira;Ciência da Computação;0,97
Giovana Barbosa Ibrahim;Análise e Desenvolvimento de Sistemas;9,27
Sabrina Dias Klein;Odontologia;9,92
Júlia Macedo Teixeira;Psicologia;9,60
Nicolas Almeida Haddad;Arquitetura e Urbanismo;3,01
Rafael Gomes Nascimento;Enfermagem;7,19
Mariana Nascimento Uchoa;Engenharia da Computação;2,80
João Cardoso Jardim;Administração;8,35
Karen Queiroz Yamada;Direito;3,63
Alice Araújo Cardoso;Engenharia Mecânica;8,81
Kauã Klein Ramos;Direito;5,64
Bruno Costa Esteves;Psicologia;5,37
Lucas Queiroz Yamada;Arquitetura e Urbanismo;8,81
Natália Pereira Xavier;Odontologia;9,60
Eduarda Ibrahim Pereira;Administração;3,31
Pedro Ibrahim Pereira;Engenharia da Computação;1,94
Karen Silva Araújo;Arquitetura e Urbanismo;6,84
Alice Dias Klein;Enfermagem;1,50
Daniel Barbosa Ibrahim;Psicologia;5,13
Leonardo Xavier Freitas;Direito;8,90
Paulo Oliveira Vieira;Engenharia Mecânica;6,57
Heitor Haddad Oliveira;Enfermagem;9,31
Nicolas Klein Ramos;Arquitetura e Urbanismo;4,56
Júlia Jardim Queiroz;Direito;9,43
Mariana Uchoa Costa;Análise e Desenvolvimento de Sistemas;2,40
Natália Duarte Ferreira;Engenharia da Computação;7,21
Eduarda Dias Klein;Odontologia;2,71
Sabrina Klein Ramos;Engenharia Mecânica;5,35
Ursula Macedo Teixeira;Análise e Desenvolvimento de Sistemas;0,82
Alice Almeida Haddad;Arquitetura e Urbanismo;3,31
Lucas Duarte Ferreira;Engenharia Mecânica;1,88
Heitor Costa Esteves;Administração;6,78
Daniel Haddad Oliveira;Administração;3,18
Ana Barbosa Ibrahim;Direito;7,47
Carla Costa Esteves;Ciência da Computação;3,44
Carla Esteves Lima;Engenharia Mecânica;4,48
Sabrina Araújo Cardoso;Direito;4,37
Sabrina Xavier Freitas;Enfermagem;9,45
Isabela Pereira Xavier;Psicologia;7,94
Yasmin Pereira Xavier;Direito;5,97
Quezia Macedo Teixeira;Direito;5,03
Fernando Silva Araújo;Ciência da Computação;7,04
Isabela Lima Silva;Administração;9,24
Thiago Duarte Ferreira;Direito;1,49
Leonardo Gomes Nascimento;Engenharia Mecânica;8,24
Ana Queiroz Yamada;Engenharia da Computação;2,98
Felipe Batista Dias;Direito;8,23
Lucas Esteves Lima;Ciência da Computação;9,40
Henrique Costa Esteves;Administração;7,69
Isabela Nascimento Uchoa;Arquitetura e Urbanismo;1,96
Karen Almeida Haddad;Direito;7,34
Isabela Costa Esteves;Administração;3,70
Ingrid Ramos Zanetti;Arquitetura e Urbanismo;0,20
Diego Lima Silva;Direito;0,65
Henrique Queiroz Yamada;Direito;6,28
Nicolas Costa Esteves;Psicologia;8,74
Eduarda Zanetti Barbosa;Ciência da Computação;3,53
Heitor Teixeira Batista;Engenharia da Computação;2,54
Otávio Ramos Zanetti;Odontologia;0,31
Lucas Yamada Almeida;Enfermagem;9,16
Carla Batista Dias;Enfermagem;9,71
Vinicius Freitas Gomes;Ciência da Computação;2,32
Paulo Batista Dias;Arquitetura e Urbanismo;2,50
Vinicius Macedo Teixeira;Odontologia;0,44
Quezia Costa Esteves;Psicologia;4,87
Vinicius Oliveira Vieira;Ciência da Computação;0,86
Pedro Klein Ramos;Ciência da Computação;9,65
Júlia Klein Ramos;Direito;9,88
Pedro Jardim Queiroz;Engenharia da Computação;3,55
Pedro Duarte Ferreira;Engenharia da Computação;3,34
Bruno Dias Klein;Odontologia;8,24
Wesley Araújo Cardoso;Odontologia;1,27
Henrique Haddad Oliveira;Direito;5,16
Nicolas Pereira Xavier;Análise e Desenvolvimento de Sistemas;5,77
Bruno Oliveira Vieira;Odontologia;1,32
Leonardo Duarte Ferreira;Ciência da Computação;9,03
Eduarda Haddad Oliveira;Ciência da Computação;2,35
Gabriela Lima Silva;Direito;8,90
Lucas Pereira Xavier;Ciência da Computação;8,09
Otávio Barbosa Ibrahim;Odontologia;0,46
Isabela Queiroz Yamada;Análise e Desenvolvimento de Sistemas;5,90
Caio Vieira Duarte;Engenharia Mecânica;8,74
Lucas Jardim Queiroz;Administração;7,04
Marcela Araújo Cardoso;Engenharia Mecânica;4,57
Sabrina Barbosa Ibrahim;Odontologia;5,72
Ursula Barbosa Ibrahim;Odontologia;6,44
Wesley Nascimento Uchoa;Engenharia Mecânica;2,41
Júlia Esteves Lima;Arquitetura e Urbanismo;6,42
Leonardo Esteves Lima;Psicologia;9,81
Marcela Oliveira Vieira;Odontologia;3,90
Ingrid Klein Ramos;Engenharia da Computação;8,24
Isabela Haddad Oliveira;Direito;7,35
Olivia Ferreira Macedo;Enfermagem;5,79
Felipe Klein Ramos;Ciência da Computação;7,62
Quezia Oliveira Vieira;Administração;7,94
Karen Teixeira Batista;Análise e Desenvolvimento de Sistemas;1,80
Yasmin Teixeira Batista;Análise e Desenvolvimento de Sistemas;8,35
Júlia Ramos Zanetti;Psicologia;5,46
Eduarda Freitas Gomes;Odontologia;2,86
Kauã Zanetti Barbosa;Direito;4,03
Elisa Cardoso Jardim;Análise e Desenvolvimento de Sistemas;8,35
Diego Xavier Freitas;Arquitetura e Urbanismo;9,06
Kauã Ferreira Macedo;Engenharia da Computação;1,16
Felipe Macedo Teixeira;Análise e Desenvolvimento de Sistemas;2,06
Marcela Yamada Almeida;Arquitetura e Urbanismo;3,79
Olivia Dias Klein;Análise e Desenvolvimento de Sistemas;7,99
Júlia Teixeira Batista;Análise e Desenvolvimento de Sistemas;5,61
Thiago Haddad Oliveira;Engenharia da Computação;0,42
Otávio Costa Esteves;Engenharia Mecânica;5,79
Ana Almeida Haddad;Psicologia;5,38
Carla Cardoso Jardim;Odontologia;5,37
Bruno Yamada Almeida;Psicologia;4,92
Isabela Gomes Nascimento;Direito;2,80
Alice Nascimento Uchoa;Engenharia Mecânica;3,43
Alice Vieira Duarte;Administração;8,55
Bruno Klein Ramos;Análise e Desenvolvimento de Sistemas;2,34
Yasmin Duarte Ferreira;Análise e Desenvolvimento de Sistemas;1,65
Paulo Yamada Almeida;Arquitetura e Urbanismo;7,73
Carla Uchoa Costa;Ciência da Computação;3,96
João Queiroz Yamada;Direito;9,43
Ingrid Araújo Cardoso;Ciência da Computação;3,38
Yasmin Vieira Duarte;Enfermagem;8,43
Ana Ferreira Macedo;Odontologia;8,31
Júlia Freitas Gomes;Direito;9,83
Giovana Ramos Zanetti;Odontologia;0,78
Giovana Lima Silva;Psicologia;9,44
Mariana Oliveira Vieira;Direito;8,91
Felipe Dias Klein;Psicologia;6,81
Caio Pereira Xavier;Análise e Desenvolvimento de Sistemas;4,41
Eduarda Teixeira Batista;Direito;2,60
Ingrid Nascimento Uchoa;Enfermagem;9,57
Carla Haddad Oliveira;Direito;6,27
Beatriz Barbosa Ibrahim;Análise e Desenvolvimento de Sistemas;9,40
Vinicius Teixeira Batista;Análise e Desenvolvimento de Sistemas;9,02
Ursula Esteves Lima;Direito;1,88
Paulo Silva Araújo;Psicologia;7,29
Thiago Oliveira Vieira;Psicologia;6,20
Ana Ibrahim Pereira;Análise e Desenvolvimento de Sistemas;6,50
Nicolas Ferreira Macedo;Ciência da Computação;4,15
João Macedo Teixeira;Psicologia;4,81
Leonardo Nascimento Uchoa;Engenharia da Computação;4,24
Daniel Ibrahim Pereira;Engenharia Mecânica;1,30
Karen Zanetti Barbosa;Ciência da Computação;3,25
Bruno Freitas Gomes;Enfermagem;5,39
Fernando Freitas Gomes;Engenharia Mecânica;3,51
Felipe Queiroz Yamada;Arquitetura e Urbanismo;7,53
Daniel Queiroz Yamada;Ciência da Computação;8,29
Thiago Costa Esteves;Psicologia;1,26
Gabriela Dias Klein;Arquitetura e Urbanismo;0,57
Eduarda Pereira Xavier;Odontologia;1,03
Heitor Gomes Nascimento;Direito;0,33
Ingrid Freitas Gomes;Análise e Desenvolvimento de Sistemas;8,72
Carla Lima Silva;Arquitetura e Urbanismo;3,55
Gabriela Pereira Xavier;Engenharia Mecânica;8,09
Olivia Ibrahim Pereira;Arquitetura e Urbanismo;5,75
Ana Oliveira Vieira;Engenharia Mecânica;5,93
Olivia Esteves Lima;Engenharia Mecânica;8,17
Otávio Freitas Gomes;Engenharia Mecânica;4,91
Rafael Jardim Queiroz;Administração;5,21
Kauã Duarte Ferreira;Direito;0,87
Ana Nascimento Uchoa;Engenharia Mecânica;7,32
Thiago Dias Klein;Ciência da Computação;7,95
Kauã Freitas Gomes;Enfermagem;1,43
Olivia Oliveira Vieira;Arquitetura e Urbanismo;5,03
Fernando Costa Esteves;Direito;4,57
Natália Esteves Lima;Enfermagem;4,91
Eduarda Klein Ramos;Engenharia da Computação;5,47
Ingrid Batista Dias;Engenharia da Computação;9,36
Vinicius Duarte Ferreira;Direito;7,34
João Batista Dias;Direito;6,53
Lucas Gomes Nascimento;Arquitetura e Urbanismo;4,68
Felipe Cardoso Jardim;Engenharia Mecânica;3,31
Sabrina Lima Silva;Direito;4,80
Kauã Araújo Cardoso;Enfermagem;1,42
Mariana Gomes Nascimento;Engenharia Mecânica;1,19
Elisa Vieira Duarte;Engenharia Mecânica;1,45
Natália Ferreira Macedo;Direito;8,41
Heitor Dias Klein;Direito;6,71
Bruno Zanetti Barbosa;Psicologia;6,81
Júlia Xavier Freitas;Análise e Desenvolvimento de Sistemas;6,62
Eduarda Almeida Haddad;Administração;7,82
Eduarda Macedo Teixeira;Psicologia;7,58
Quezia Freitas Gomes;Análise e Desenvolvimento de Sistemas;2,12
Ursula Gomes Nascimento;Ciência da Computação;2,23
Gabriela Uchoa Costa;Análise e Desenvolvimento de Sistemas;9,76
Leonardo Dias Klein;Ciência da Computação;7,70
Henrique Esteves Lima;Enfermagem;1,40
Ana Zanetti Barbosa;Psicologia;3,24
Paulo Duarte Ferreira;Odontologia;9,56
Kauã Macedo Teixeira;Odontologia;9,66
Beatriz Silva Araújo;Arquitetura e Urbanismo;3,98
Bruno Almeida Haddad;Odontologia;8,84
Rafael Ferreira Macedo;Odontologia;4,75
Pedro Barbosa Ibrahim;Administração;8,40
Elisa Esteves Lima;Engenharia Mecânica;1,90
Mariana Esteves Lima;Ciência da Computação;1,50
Leonardo Ibrahim Pereira;Administração;9,50
Thiago Nascimento Uchoa;Engenharia Mecânica;1,63
Gabriela Silva Araújo;Ciência da Computação;5,86
Diego Dias Klein;Administração;0,81
Giovana Batista Dias;Direito;9,14
Marcela Gomes Nascimento;Psicologia;1,19
Mariana Duarte Ferreira;Engenharia Mecânica;7,54
Yasmin Haddad Oliveira;Arquitetura e Urbanismo;1,50
Thiago Pereira Xavier;Análise e Desenvolvimento de Sistemas;2,39
Marcela Vieira Duarte;Engenharia Mecânica;9,83
Wesley Klein Ramos;Administração;0,14
Leonardo Klein Ramos;Engenharia da Computação;4,36
Eduarda Queiroz Yamada;Psicologia;10,00
Carla Xavier Freitas;Ciência da Computação;9,94
Ingrid Yamada Almeida;Arquitetura e Urbanismo;1,51
Ana Gomes Nascimento;Odontologia;7,26
Felipe Esteves Lima;Odontologia;9,50
Otávio Araújo Cardoso;Enfermagem;3,13
Nicolas Teixeira Batista;Administração;6,39
Natália Klein Ramos;Psicologia;8,20
Lucas Uchoa Costa;Engenharia da Computação;8,53
Natália Vieira Duarte;Arquitetura e Urbanismo;8,61
Mariana Cardoso Jardim;Administração;7,81
Quezia Cardoso Jardim;Engenharia Mecânica;9,86
Ursula Nascimento Uchoa;Arquitetura e Urbanismo;8,72
João Teixeira Batista;Enfermagem;9,22
Kauã Silva Araújo;Psicologia;6,40
Alice Klein Ramos;Ciência da Computação;1,79
Rafael Araújo Cardoso;Arquitetura e Urbanismo;6,52
Ana Macedo Teixeira;Engenharia da Computação;5,56
Marcela Ramos Zanetti;Ciência da Computação;1,74
Leonardo Zanetti Barbosa;Direito;8,95
Lucas Teixeira Batista;Ciência da Computação;8,94
Giovana Queiroz Yamada;Arquitetura e Urbanismo;1,85
Wesley Jardim Queiroz;Análise e Desenvolvimento de Sistemas;7,48
Daniel Teixeira Batista;Engenharia da Computação;3,89
Quezia Ibrahim Pereira;Administração;7,47
Bruno Ramos Zanetti;Odontologia;8,53
Natália Dias Klein;Análise e Desenvolvimento de Sistemas;0,35
Júlia Pereira Xavier;Análise e Desenvolvimento de Sistemas;8,41
Diego Yamada Almeida;Ciência da Computação;4,25
Paulo Teixeira Batista;Engenharia da Computação;1,22
Lucas Araújo Cardoso;Engenharia Mecânica;7,59
Elisa Dias Klein;Engenharia Mecânica;5,83
Giovana Freitas Gomes;Administração;2,77
Nicolas Gomes Nascimento;Psicologia;2,91
Lucas Batista Dias;Engenharia da Computação;9,35
Giovana Dias Klein;Enfermagem;3,14
Ana Dias Klein;Engenharia da Computação;0,11
Nicolas Macedo Teixeira;Análise e Desenvolvimento de Sistemas;1,43
Alice Ibrahim Pereira;Administração;5,60
Nicolas Duarte Ferreira;Arquitetura e Urbanismo;0,73
Beatriz Lima Silva;Enfermagem;2,54
Thiago Xavier Freitas;Administração;5,80
Leonardo Queiroz Yamada;Análise e Desenvolvimento de Sistemas;9,04
Beatriz Freitas Gomes;Enfermagem;2,49
Ingrid Uchoa Costa;Arquitetura e Urbanismo;6,88
Diego Batista Dias;Análise e Desenvolvimento de Sistemas;2,30
Diego Zanetti Barbosa;Engenharia Mecânica;3,92
Sabrina Oliveira Vieira;Enfermagem;5,95
Eduarda Nascimento Uchoa;Engenharia Mecânica;3,76
Júlia Yamada Almeida;Análise e Desenvolvimento de Sistemas;8,88
Leonardo Ramos Zanetti;Arquitetura e Urbanismo;2,02
Isabela Zanetti Barbosa;Análise e Desenvolvimento de Sistemas;7,20
Thiago Vieira Duarte;Ciência da Computação;6,89
Diego Almeida Haddad;Arquitetura e Urbanismo;5,87
Rafael Vieira Duarte;Direito;1,05
Sabrina Cardoso Jardim;Arquitetura e Urbanismo;3,25
Yasmin Barbosa Ibrahim;Direito;2,59
Eduarda Lima Silva;Odontologia;5,05
Diego Freitas Gomes;Análise e Desenvolvimento de Sistemas;2,66
Júlia Queiroz Yamada;Engenharia Mecânica;7,32
Alice Ferreira Macedo;Engenharia da Computação;8,02
Felipe Vieira Duarte;Odontologia;9,08
Yasmin Nascimento Uchoa;Administração;6,27
Vinicius Vieira Duarte;Arquitetura e Urbanismo;3,00
Ingrid Barbosa Ibrahim;Odontologia;4,68
Kauã Cardoso Jardim;Administração;9,66
Vinicius Ramos Zanetti;Odontologia;7,77
Diego Pereira Xavier;Arquitetura e Urbanismo;8,76
Karen Jardim Queiroz;Odontologia;9,86
Karen Haddad Oliveira;Engenharia da Computação;5,51
Vinicius Cardoso Jardim;Engenharia da Computação;7,89
Caio Cardoso Jardim;Administração;7,95
Eduarda Silva Araújo;Engenharia Mecânica;1,03
Gabriela Costa Esteves;Engenharia da Computação;2,12
Isabela Ramos Zanetti;Análise e Desenvolvimento de Sistemas;1,85
Caio Gomes Nascimento;Enfermagem;3,22
Thiago Teixeira Batista;Odontologia;5,40
Wesley Queiroz Yamada;Odontologia;1,68
Karen Barbosa Ibrahim;Enfermagem;2,92
Mariana Ferreira Macedo;Ciência da Computação;1,40
Paulo Costa Esteves;Engenharia Mecânica;9,39
Leonardo Uchoa Costa;Direito;9,88
Karen Oliveira Vieira;Enfermagem;7,21
Elisa Almeida Haddad;Ciência da Computação;8,07
Ana Xavier Freitas;Engenharia da Computação;1,90
Otávio Nascimento Uchoa;Ciência da Computação;0,22
Leonardo Oliveira Vieira;Direito;6,85
Marcela Haddad Oliveira;Direito;5,80
Rafael Almeida Haddad;Direito;2,86
Felipe Araújo Cardoso;Psicologia;8,90
Quezia Araújo Cardoso;Engenharia da Computação;9,16
Isabela Batista Dias;Ciência da Computação;9,36
Natália Nascimento Uchoa;Psicologia;5,18
Gabriela Gomes Nascimento;Direito;6,28
Beatriz Zanetti Barbosa;Administração;4,06
Rafael Ibrahim Pereira;Administração;8,27
Leonardo Costa Esteves;Arquitetura e Urbanismo;5,77
Felipe Haddad Oliveira;Engenharia da Computação;3,89
Júlia Vieira Duarte;Engenharia Mecânica;5,35
Gabriela Esteves Lima;Análise e Desenvolvimento de Sistemas;5,47
Rafael Teixeira Batista;Engenharia da Computação;7,03
Heitor Uchoa Costa;Análise e Desenvolvimento de Sistemas;9,78
Alice Yamada Almeida;Administração;5,90
Caio Dias Klein;Odontologia;1,95
Marcela Freitas Gomes;Análise e Desenvolvimento de Sistemas;9,06
Ana Costa Esteves;Arquitetura e Urbanismo;1,11
Daniel Klein Ramos;Enfermagem;1,83
Nicolas Dias Klein;Administração;4,01
Paulo Gomes Nascimento;Engenharia da Computação;7,64
Felipe Barbosa Ibrahim;Enfermagem;3,62
Thiago Zanetti Barbosa;Administração;0,31
Heitor Zanetti Barbosa;Psicologia;2,70
Rafael Cardoso Jardim;Administração;8,96
João Freitas Gomes;Engenharia Mecânica;6,40
Rafael Klein Ramos;Direito;5,98
Quezia Vieira Duarte;Ciência da Computação;8,36
Yasmin Yamada Almeida;Ciência da Computação;5,44
Marcela Esteves Lima;Administração;5,12
Caio Ibrahim Pereira;Análise e Desenvolvimento de Sistemas;5,59
Paulo Zanetti Barbosa;Enfermagem;5,53
Olivia Pereira Xavier;Engenharia da Computação;8,34
Eduarda Batista Dias;Engenharia da Computação;5,01
Otávio Teixeira Batista;Direito;6,12
Quezia Haddad Oliveira;Ciência da Computação;5,70
Ana Vieira Duarte;Engenharia da Computação;3,82
Otávio Vieira Duarte;Psicologia;9,92
Otávio Ibrahim Pereira;Ciência da Computação;9,01
Bruno Queiroz Yamada;Psicologia;8,43
Beatriz Ramos Zanetti;Direito;8,53
Alice Freitas Gomes;Odontologia;9,22
Nicolas Oliveira Vieira;Psicologia;9,76
Elisa Klein Ramos;Arquitetura e Urbanismo;3,17
Mariana Costa Esteves;Arquitetura e Urbanismo;7,45
Daniel Vieira Duarte;Engenharia da Computação;3,74
Carla Teixeira Batista;Engenharia Mecânica;9,49
Karen Vieira Duarte;Análise e Desenvolvimento de Sistemas;5,31
Marcela Batista Dias;Administração;5,76
Paulo Ibrahim Pereira;Direito;3,71
Giovana Ibrahim Pereira;Odontologia;7,92
Pedro Oliveira Vieira;Engenharia da Computação;9,19
Felipe Pereira Xavier;Análise e Desenvolvimento de Sistemas;1,49
